,Unnamed: 0,book_info,movie_info,book_year,book_title,book_author,id,film_year,film_title,title,rating,year,users_rating,votes,metascore,img_url,countries,languages,actors,genre,tagline,description,directors,runtime,imdb_url
2409,2412,"The Saga of Pecos Bill (1923), Edward O'Reilly",Melody Time (1948),1923,The Saga of Pecos Bill,Edward O'Reilly,,1948,Melody Time,Melody Time,Approved,1948,6.5,"3,898",69,"https://m.media-amazon.com/images/M/MV5BNDhiMDQzYzYtNWVlMC00YzRkLTg4ZGItN2M2MGNjOTllNWVmXkEyXkFqcGdeQXVyNjI1Mjk4MTg@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",['USA'],['English'],"['Roy Rogers', 'Trigger', 'Dennis Day', 'The Andrews Sisters', 'Fred Waring and His Pennsylvanians', 'Freddy Martin', 'Ethel Smith', 'Frances Langford', 'Buddy Clark', 'Bob Nolan', 'Sons of the Pioneers', 'The Dinning Sisters', 'Bobby Driscoll', 'Luana Patten']","['Animation', 'Family', 'Music', 'Musical']",For Your All-Time Good Time!,An anthology of animated vignettes set to contemporary music.,"['Clyde Geronimi', 'Wilfred Jackson', '2 more credits']",72 min,https://www.imdb.com/title/tt0040580/
2410,2413,"The Saga of Pecos Bill (1923), Edward O'Reilly",Tall Tale (1995),1923,The Saga of Pecos Bill,Edward O'Reilly,,1995,Tall Tale,Tall Tale,PG,1995,5.9,"2,977",,"https://m.media-amazon.com/images/M/MV5BMTc3MzExNjkwMV5BMl5BanBnXkFtZTYwMTQ4Mjg5._V1_UX182_CR0,0,182,268_AL__QL50.jpg",['USA'],['English'],"['Patrick Swayze', 'Oliver Platt', 'Roger Aaron Brown', 'Nick Stahl', 'Scott Glenn', 'Stephen Lang', 'Jared Harris', ""Catherine O'Hara"", 'Moira Sinise', 'Joe Grifasi', 'John P. Ryan', 'Scott Wilson', 'Bert Kramer', 'Eric Lawson', 'Bill Rodgers']","['Adventure', 'Family', 'Fantasy', 'Western']",Sometime the hero ends up being you!,A young boy draws on the inspiration of legendary western characters to find the strength to fight an evil land baron in the old west who wants to steal his family's farm and destroy their ...,['Jeremiah S. Chechik'],96 min,https://www.imdb.com/title/tt0111359/
2411,2414,"Sahara (1992), Clive Cussler",Sahara (2005),1992,Sahara,Clive Cussler,41716.0,2005,Sahara,Sahara,PG-13,2005,6.0,"85,273",41,"https://m.media-amazon.com/images/M/MV5BMjExOTM4NDUzNV5BMl5BanBnXkFtZTcwOTgzNzczMw@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","['UK', 'Spain', 'Germany', 'USA']","['English', 'French', 'Arabic']","['Jude Akuwudike', 'Mark Aspinall', 'Rakie Ayola', 'Christopher Bello', 'Nicholas Beveney', 'Empotoe Bosage', 'Robert Cavanah', 'Penélope Cruz', 'Clint Dyer', 'Matthew Flynn', 'Paulin Fodouop', 'Ouahbou Houcine', 'Emmanuel Ighodaro', 'Lennie James', 'Maurice Lee']","['Action', 'Adventure', 'Comedy', 'Thriller']",Dirk Pitt. Adventure has a new name.,"Master explorer Dirk Pitt goes on the adventure of a lifetime of seeking out a lost Civil War battleship known as the ""Ship of Death"" in the deserts of West Africa while helping a WHO doctor being hounded by a ruthless dictator.",['Breck Eisner'],124 min,https://www.imdb.com/title/tt0318649/
2413,2416,"Saint Jack (1973), Paul Theroux",Saint Jack (1979),1973,Saint Jack,Paul Theroux,544744.0,1979,Saint Jack,Saint Jack,R,1979,7.1,"1,170",,"https://m.media-amazon.com/images/M/MV5BZGYxZGM3MTUtYzNlMC00MmFlLTllMzAtMDBiYTA3OWU3M2NhXkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",['USA'],['English'],"['Ben Gazzara', 'Denholm Elliott', 'James Villiers', 'Joss Ackland', 'Rodney Bewes', 'Mark Kingston', 'Lisa Lu', 'Monika Subramaniam', 'Judy Lim', 'George Lazenby', 'Peter Bogdanovich', 'Joseph Noël', 'Kian Bee Ong', 'Yan Meng Tan', 'Andrew Chua']",['Drama'],"""People make love for so many crazy reasons-- why shouldn't money be one of them?"" - The Gospel According To Saint Jack","Jack Flowers, an American hustler in early 1970s Singapore, dreams of building a fortune by running a brothel and returning to the States to lead a life of luxury.",['Peter Bogdanovich'],112 min,https://www.imdb.com/title/tt0079843/
2414,2417,"Saint Johnson (1930), W. R. Burnett",Law and Order (1932),1930,Saint Johnson,W. R. Burnett,8641059.0,1932,Law and Order,Law and Order,TV-PG,1932,7.0,212,,"https://m.media-amazon.com/images/M/MV5BZjNhMTY0MDEtMjA1OS00YTUxLWJiZTYtZTI2NmQ3MTI2ZjFlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_UY268_CR4,0,182,268_AL__QL50.jpg",['USA'],['English'],"['Walter Huston', 'Harry Carey', 'Russell Hopton', 'Raymond Hatton', 'Ralph Ince', 'Harry Woods', 'Richard Alexander', 'Russell Simpson', 'Andy Devine']",['Western'],Thrilling epic of lawless Tombstone days,"A lawman sets out to tame Tombstone, Arizona.",['Edward L. Cahn'],75 min,https://www.imdb.com/title/tt0023121/
2415,2418,"Saint Johnson (1930), W. R. Burnett",Wild West Days (1937),1930,Saint Johnson,W. R. Burnett,8641059.0,1937,Wild West Days,Wild West Days,Approved,1937,6.6,27,,"https://m.media-amazon.com/images/M/MV5BNWQ5OWU3NjEtMWNhNi00OTM3LWFkNGMtODQwYWY1MmI2OWE5XkEyXkFqcGdeQXVyMDMxMjQwMw@@._V1_UY268_CR37,0,182,268_AL__QL50.jpg",['USA'],['English'],"['Johnny Mack Brown', 'George Shelley', 'Lynn Gilbert', 'Frank Yaconelli', 'Bob Kortman', 'Russell Simpson', 'Walter Miller', 'Charles Stevens', 'Frank McGlynn Jr.', 'Francis McDonald', 'Al Bridge', 'Chief Thunderbird', 'Robert McClung', 'Edward LeSaint', 'Joseph W. Girard']","['Action', 'Adventure', 'Western']",MEN RODE RANGE WITH DEATH WHEN THEY CROSSED HIS TRAIL!,"Retired lawman Kentucky Wade and his three buddies, Mike Morales, ""Dude"" Hanford and ""Trigger"" Benton come to Brimstone and help their friends Larry Munro and his sister, Lucy , in their ...","['Ford Beebe', 'Clifford Smith']",268 min,https://www.imdb.com/title/tt0029778/
2416,2419,"The Salamander (1973), Morris West",The Salamander (1981),1973,The Salamander,Morris West,2213955.0,1981,The Salamander,The Salamander,R,1981,6.2,691,,"https://m.media-amazon.com/images/M/MV5BMTQzMzI0NTMxNF5BMl5BanBnXkFtZTcwODAxOTUyMQ@@._V1_UY268_CR1,0,182,268_AL__QL50.jpg","['USA', 'Italy', 'UK']",['English'],"['Franco Nero', 'Anthony Quinn', 'Martin Balsam', 'Sybil Danning', 'Christopher Lee', 'Cleavon Little', 'Paul L. Smith', 'John Steiner', 'Claudia Cardinale', 'Eli Wallach', 'Renzo Palmer', 'Anita Strindberg', 'Marino Masé', 'Jacques Herlin', 'Fortunato Arena']",['Thriller'],,An Italian policeman investigates a series of murders involving people in prominent positions. Left behind at each murder scene is a drawing of a salamander. The policeman begins to suspect...,['Peter Zinner'],103 min,https://www.imdb.com/title/tt0083024/
2422,2425,"Sanctuary (1931), William Faulkner",The Story of Temple Drake (1933),1931,Sanctuary,William Faulkner,48512660.0,1933,The Story of Temple Drake,The Story of Temple Drake,,1933,7.2,887,,"https://m.media-amazon.com/images/M/MV5BNjE3MTYxNTIwMl5BMl5BanBnXkFtZTcwMTgzMjkyMw@@._V1_UY268_CR18,0,182,268_AL__QL50.jpg",['USA'],['English'],"['Miriam Hopkins', 'William Gargan', 'Jack La Rue', 'Florence Eldridge', 'Guy Standing', 'Irving Pichel', 'Jobyna Howland', 'William Collier Jr.', 'Elizabeth Patterson', 'James Eagles', 'Harlan Knight', 'Jim Mason', 'Louise Beavers', 'Arthur Belasco']",['Drama'],I CAN NEVER FACE THE WORLD AGAIN!,"A wealthy but neurotic Southern belle finds herself trapped in the hideout of a gang of vicious bootleggers. The gang's leader lusts after her, and is determined not to let anything stand in the way of his having her.",['Stephen Roberts'],70 min,https://www.imdb.com/title/tt0024617/
2423,2426,"The Sand Pebbles (1962), Richard McKenna",The Sand Pebbles (1966),1962,The Sand Pebbles,Richard McKenna,815854.0,1966,The Sand Pebbles,The Sand Pebbles,PG-13,1966,7.7,"11,925",,"https://m.media-amazon.com/images/M/MV5BNzM4NWQzNzAtNjc0Yy00NjFiLWFiMjUtMTczNWYwMGY1YjUyXkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",['USA'],"['English', 'Mandarin']","['Steve McQueen', 'Richard Attenborough', 'Richard Crenna', 'Candice Bergen', 'Emmanuelle Arsan', 'Mako', 'Larry Gates', 'Charles Robinson', 'Simon Oakland', 'Ford Rainey', 'Joe Turkel', 'Gavin MacLeod', 'Joe Di Reda', 'Richard Loo', 'Barney Phillips']","['Adventure', 'Drama', 'Romance', 'War']",This is the heroic story of the men on the U.S.S. San Pablo who disturbed the sleeping dragon of savage China as the threatened world watched in breathless terror,"In 1926, a U.S. Naval engineer gets assigned to a gunboat on a rescue mission in war-torn China.",['Robert Wise'],182 min,https://www.imdb.com/title/tt0060934/
2426,2429,"Sangre y arena (Blood and Sand) (1909), Vicente Blasco Ibáñez",Blood and Sand (1941),1909,Sangre y arena,Vicente Blasco Ibáñez,7542842.0,1941,Blood and Sand,Blood and Sand,Approved,1941,7.0,"2,033",,"https://m.media-amazon.com/images/M/MV5BZDU4YmIyMDUtYjA5NC00ODYyLWJmNTItOTZlYTZlNmFjNGVkL2ltYWdlXkEyXkFqcGdeQXVyNjQzNDI3NzY@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",['USA'],['English'],"['Tyrone Power', 'Linda Darnell', 'Rita Hayworth', 'Alla Nazimova', 'Anthony Quinn', 'J. Carrol Naish', 'Lynn Bari', 'John Carradine', 'Laird Cregar', 'Monty Banks', 'Vicente Gómez', 'George Reeves', 'Pedro de Cordoba', 'Fortunio Bonanova', 'Victor Kilian']","['Drama', 'Sport']",Love flamed in the shadow of death!,Illiterate peasant Juan Gallardo rises meteorically to fame and fortune in the bullfight arena only to sow the seeds of his own fall.,['Rouben Mamoulian'],125 min,https://www.imdb.com/title/tt0033405/
2427,2430,"Sangre y arena (Blood and Sand) (1909), Vicente Blasco Ibáñez",Blood and Sand (1989),1909,Sangre y arena,Vicente Blasco Ibáñez,7542842.0,1989,Blood and Sand,Blood and Sand,R,1989,4.7,899,,"https://m.media-amazon.com/images/M/MV5BY2YxZjY1NmItODBmYS00NjJjLTgyZDItZTBiMmRhNGM5ODQ4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","['Spain', 'USA']","['Spanish', 'English']","['Christopher Rydell', 'Sharon Stone', 'Ana Torrent', 'Guillermo Montesinos', 'Albert Vidal', 'Simón Andreu', 'Antonio Flores', 'Margarita Calahorra', 'José Luis de Vilallonga', 'Tony Fuentes', 'Julia Torres', 'Aldo Sambrell', 'Daniel Martín', 'Luis Martin Carrasco', 'Luis Barboo']","['Drama', 'Romance']",,Juan is a young Spanish man whose dream is to become one of the famous toreros. When he was caught making an illegal (and in fact for the real torero life endangering) night bullfight with ...,['Javier Elorrieta'],113 min,https://www.imdb.com/title/tt0098251/
2428,2431,"The Satan Bug (1962), Alistair MacLean",The Satan Bug (1965),1962,The Satan Bug,Alistair MacLean,3214291.0,1965,The Satan Bug,The Satan Bug,Approved,1965,6.2,"1,954",,"https://m.media-amazon.com/images/M/MV5BNDY4MzE0Nzk4MV5BMl5BanBnXkFtZTcwMTI0NzI5NA@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",['USA'],['English'],"['George Maharis', 'Richard Basehart', 'Anne Francis', 'Dana Andrews', 'John Larkin', 'Richard Bull', 'Frank Sutton', 'Edward Asner', 'Simon Oakland', 'John Anderson', 'John Clarke', 'Hari Rhodes', 'Martin Blaine', 'Henry Beckman', 'Harry Lauter']","['Crime', 'Mystery', 'Sci-Fi', 'Thriller']",The price for uncovering the secret of the satan bug comes high - YOUR LIFE!,"A germ that could destroy life on Earth is stolen from a biological warfare lab and the thief threatens to release it into the open, prompting a security officer to act.",['John Sturges'],114 min,https://www.imdb.com/title/tt0059678/
2430,2433,"Sayonara (1954), James A. Michener",Sayonara (1957),1954,Sayonara,James A. Michener,42956.0,1957,Sayonara,Sayonara,Not Rated,1957,7.2,"5,183",,"https://m.media-amazon.com/images/M/MV5BYjY5OTRhYTAtZmM5Ni00NjU5LWI3OWEtYzBlMWJkOTMyNTFiXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",['USA'],"['English', 'Japanese']","['Marlon Brando', 'Patricia Owens', 'James Garner', 'Martha Scott', 'Miiko Taka', 'Miyoshi Umeki', 'Red Buttons', 'Kent Smith', 'Douglass Watson', 'Reiko Kuba', 'Soo Yong', 'Shochiku Kagekidan Girls Revue', 'Ricardo Montalban']","['Drama', 'Romance']","Worlds apart...theirs was the daring love affair violating every rule, every custom, every centuries-old belief!",A US Air Force major in Kobe confronts his own opposition to marriages between American servicemen and Japanese women when he falls for a beautiful performer.,['Joshua Logan'],147 min,https://www.imdb.com/title/tt0050933/
2431,2434,"A Scanner Darkly (1977), Philip K. Dick",A Scanner Darkly (2006),1977,A Scanner Darkly,Philip K. Dick,14817.0,2006,A Scanner Darkly,A Scanner Darkly,R,2006,7.1,"98,583",73,"https://m.media-amazon.com/images/M/MV5BOTc2ZGI2MzEtODlkNC00MGQ4LTlkYjQtMDU0YTg1YTI0NDI1L2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",['USA'],['English'],"['Rory Cochrane', 'Robert Downey Jr.', 'Mitch Baker', 'Keanu Reeves', 'Sean Allen', 'Cliff Haby', 'Steven Chester Prince', 'Winona Ryder', 'Natasha Janina Valdez', 'Mark Turner', 'Woody Harrelson', 'Chamblee Ferguson', 'Angela Rawna', 'Eliza Stevens', 'Sarah Menchaca']","['Animation', 'Crime', 'Drama', 'Mystery', 'Sci-Fi', 'Thriller']",Everything Is Not Going To Be OK,An undercover cop in a not-too-distant future becomes involved with a dangerous new drug and begins to lose his own identity as a result.,['Richard Linklater'],100 min,https://www.imdb.com/title/tt0405296/
2432,2435,"Scarface (1929), Armitage Trail",Scarface (1932),1929,Scarface,Armitage Trail,1066979.0,1932,Scarface,Scarface,PG,1932,7.8,"22,415",,"https://m.media-amazon.com/images/M/MV5BYmMxZTU2ZDUtM2Y1MS00ZWFmLWJlN2UtNzI0OTJiOTYzMTk3XkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",['USA'],['English'],"['Paul Muni', 'Ann Dvorak', 'Karen Morley', 'Osgood Perkins', 'C. Henry Gordon', 'George Raft', 'Vince Barnett', 'Boris Karloff', 'Purnell Pratt', 'Tully Marshall', 'Inez Palange', 'Edwin Maxwell']","['Action', 'Crime', 'Drama', 'Film-Noir', 'Thriller']",,"An ambitious and nearly insane violent gangster climbs the ladder of success in the mob, but his weaknesses prove to be his downfall.","['Howard Hawks', 'Richard Rosson']",93 min,https://www.imdb.com/title/tt0023427/
2433,2436,"Scarface (1929), Armitage Trail",Scarface (1983),1929,Scarface,Armitage Trail,1066979.0,1983,Scarface,Scarface,R,1983,8.3,"645,069",65,"https://m.media-amazon.com/images/M/MV5BNjdjNGQ4NDEtNTEwYS00MTgxLTliYzQtYzE2ZDRiZjFhZmNlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",['USA'],"['English', 'Spanish']","['Al Pacino', 'Steven Bauer', 'Michelle Pfeiffer', 'Mary Elizabeth Mastrantonio', 'Robert Loggia', 'Miriam Colon', 'F. Murray Abraham', 'Paul Shenar', 'Harris Yulin', 'Ángel Salazar', 'Arnaldo Santana', 'Pepe Serna', 'Michael P. Moran', 'Al Israel', 'Dennis Holahan']","['Crime', 'Drama']",The world is yours...,"In Miami in 1980, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.",['Brian De Palma'],170 min,https://www.imdb.com/title/tt0086250/
2441,2444,"The Scarlet Letter (1850), Nathaniel Hawthorne",The Scarlet Letter (1926),1850,The Scarlet Letter,Nathaniel Hawthorne,12296.0,1926,The Scarlet Letter,The Scarlet Letter,Passed,1926,7.8,"1,373",,"https://m.media-amazon.com/images/M/MV5BYWQ2ZTYxYTYtYTZiMS00OTFiLTg0NzMtZTBmN2MxMDc1NGI5XkEyXkFqcGdeQXVyMjcxNjI4NTk@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",['USA'],['English'],"['Lillian Gish', 'Lars Hanson', 'Henry B. Walthall', 'Karl Dane', 'William H. Tooker', 'Marcelle Corday', 'Fred Herzog', 'Jules Cowles', 'Mary Hawes', 'Joyce Coad', 'James A. Marcus']",['Drama'],,"After having a child out of wedlock, a young Puritan woman is pressured to reveal the name of her lover.",['Victor Sjöström'],98 min,https://www.imdb.com/title/tt0017350/
2442,2445,"The Scarlet Letter (1850), Nathaniel Hawthorne",The Scarlet Letter (1934),1850,The Scarlet Letter,Nathaniel Hawthorne,12296.0,1934,The Scarlet Letter,The Scarlet Letter,Not Rated,1934,5.4,283,,"https://m.media-amazon.com/images/M/MV5BMTc3MTk1MjUyMV5BMl5BanBnXkFtZTcwMzQ3MDc0NQ@@._V1._CR38,49,271,404_UX182_CR0,0,182,268_AL__QL50.jpg",['USA'],['English'],"['Colleen Moore', 'Hardie Albright', 'Henry B. Walthall', 'Cora Sue Collins', 'Alan Hale', 'Virginia Howell', 'William Kent', 'William Farnum', 'Betty Blythe', 'Al O. Henderson', 'Jules Cowles', 'Mickey Rentschler', 'Shirley Jean Rickert', 'Flora Finch']","['Drama', 'History', 'Romance']",Nathaniel Hawthorne's classic tale of sin & redemption!,"In the seventeenth century, in Massachusetts, a young woman is forced to wear a scarlet ""A"" on her dress for bearing a child out of wedlock.",['Robert G. Vignola'],69 min,https://www.imdb.com/title/tt0025747/
2445,2448,"The Scarlet Letter (1850), Nathaniel Hawthorne",The Scarlet Letter (1995),1850,The Scarlet Letter,Nathaniel Hawthorne,12296.0,1995,The Scarlet Letter,The Scarlet Letter,R,1995,5.2,"13,343",,"https://m.media-amazon.com/images/M/MV5BMTkxOWQ0OWMtY2E5YS00YjkzLWFjODQtZGY4NTQ5YmE2OGIzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",['USA'],['English'],"['Demi Moore', 'Gary Oldman', 'Robert Duvall', 'Lisa Andoh', 'Edward Hardwicke', 'Robert Prosky', 'Roy Dotrice', 'Joan Plowright', 'Malcolm Storry', 'James Bearden', 'Larissa Laskin', 'Amy Wright', 'George Aguilar', 'Tim Woodward', 'Joan Gregson']","['Drama', 'Romance']","When intimacy is forbidden and passion is a sin, love is the most defiant crime of all.",An affair between a young woman and a pastor has disastrous consequences.,['Roland Joffé'],135 min,https://www.imdb.com/title/tt0114345/
2464,2467,"The Searchers (1954), Alan Le May",The Searchers (1956),1954,The Searchers,Alan Le May,15811641.0,1956,The Searchers,The Searchers,Passed,1956,8.0,"71,484",,"https://m.media-amazon.com/images/M/MV5BYWQ3YWJiMDEtMDBhNS00YjY1LTkzNmEtY2U4Njg4MjQ3YWE3XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",['USA'],"['English', 'Navajo', 'Spanish']","['John Wayne', 'Jeffrey Hunter', 'Vera Miles', 'Ward Bond', 'Natalie Wood', 'John Qualen', 'Olive Carey', 'Henry Brandon', 'Ken Curtis', 'Harry Carey Jr.', 'Antonio Moreno', 'Hank Worden', 'Beulah Archuletta', 'Walter Coy', 'Dorothy Jordan']","['Adventure', 'Drama', 'Western']",The story that sweeps from the great Southwest to the Canadian border in VistaVision.,An American Civil War veteran embarks on a journey to rescue his niece from the Comanches.,['John Ford'],119 min,https://www.imdb.com/title/tt0049730/
2465,2468,"Schindler's Ark (1982),[1] Thomas Keneally",Schindler's List (1993),1982,Schindler's Ark,unknown,268302.0,1993,Schindler's List,Schindler's List,R,1993,8.9,"1,050,264",93,"https://m.media-amazon.com/images/M/MV5BNDE4OTMxMTctNmRhYy00NWE2LTg3YzItYTk3M2UwOTU5Njg4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",['USA'],"['English', 'Hebrew', 'German', 'Polish']","['Liam Neeson', 'Ben Kingsley', 'Ralph Fiennes', 'Caroline Goodall', 'Jonathan Sagall', 'Embeth Davidtz', 'Malgorzata Gebel', 'Shmuel Levy', 'Mark Ivanir', 'Béatrice Macola', 'Andrzej Seweryn', 'Friedrich von Thun', 'Krzysztof Luft', 'Harry Nehring', 'Norbert Weisser']","['Biography', 'Drama', 'History']",The List Is Life.,"In German-occupied Poland during World War II, Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazi Germans.",['Steven Spielberg'],195 min,https://www.imdb.com/title/tt0108052/
2470,2473,"The Sea Hawk (1915), Rafael Sabatini",The Sea Hawk (1924),1915,The Sea Hawk,Rafael Sabatini,236888.0,1924,The Sea Hawk,The Sea Hawk,Passed,1924,7.2,409,,"https://m.media-amazon.com/images/M/MV5BMTUyMzIxNDg2M15BMl5BanBnXkFtZTgwMDQ1Njk1MjE@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",['USA'],['English'],"['Milton Sills', 'Enid Bennett', 'Lloyd Hughes', 'Wallace Beery', 'Marc McDermott', 'Wallace MacDonald', 'Bert Woodruff', 'Claire Du Brey', 'Lionel Belmore', 'Christina Montt', 'Albert Prisco', 'Frank Currier', 'William Collier Jr.', 'Medea Radzina', 'Fred DeSilva']","['Adventure', 'Drama', 'Romance']",Coming on the winds of Romance,A wrongly convicted English gentleman goes from galley slave to pirate captain.,['Frank Lloyd'],123 min,https://www.imdb.com/title/tt0015310/
2471,2474,"The Sea Hawk (1915), Rafael Sabatini",The Sea Hawk (1940),1915,The Sea Hawk,Rafael Sabatini,236888.0,1940,The Sea Hawk,The Sea Hawk,Approved,1940,7.7,"8,063",,"https://m.media-amazon.com/images/M/MV5BMTYwOTE5NTM1NV5BMl5BanBnXkFtZTgwMzU1Njk1MjE@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",['USA'],['English'],"['Errol Flynn', 'Brenda Marshall', 'Claude Rains', 'Donald Crisp', 'Flora Robson', 'Alan Hale', 'Henry Daniell', ""Una O'Connor"", 'James Stephenson', 'Gilbert Roland', 'William Lundigan', 'Julien Mitchell', 'Montagu Love', 'J.M. Kerrigan', 'David Bruce']","['Action', 'Adventure', 'History', 'Romance']",Dashing . . . romantic . . . Errol Flynn at his thrilling best!,"Geoffrey Thorpe, a buccaneer, is hired by Queen Elizabeth I to nag the Spanish Armada. The Armada is waiting for the attack on England and Thorpe surprises them with attacks on their galleons where he shows his skills on the sword.",['Michael Curtiz'],127 min,https://www.imdb.com/title/tt0033028/
2474,2477,"The Sea-Wolf (1904), Jack London",The Sea Wolf (1926),1904,The Sea-Wolf,Jack London,43049.0,1926,The Sea Wolf,The Sea Wolf,,1926,2.1,8,,"https://m.media-amazon.com/images/M/MV5BM2ZmNjNjMmYtZTYyNi00ZmY3LTk5Y2QtODY2MDgyODY3Y2M2XkEyXkFqcGdeQXVyMDUyOTUyNQ@@._V1_UY268_CR80,0,182,268_AL__QL50.jpg",['USA'],['English'],"['Ralph Ince', 'Claire Adams', 'Theodore von Eltz', 'Snitz Edwards', 'Mitchell Lewis']","['Adventure', 'Drama']",,"Based off of Jack Londons classic novel, ""The Sea Wolf.""",['Ralph Ince'],,https://www.imdb.com/title/tt0017358/
2475,2478,"The Sea-Wolf (1904), Jack London",The Sea Wolf (1930),1904,The Sea-Wolf,Jack London,43049.0,1930,The Sea Wolf,The Sea Wolf,,1930,7.8,12,,"https://m.media-amazon.com/images/M/MV5BZWU5ZjI1MzAtNDNiOS00MDQ0LTk4ZjUtMmI2MjE4MTBlMWJhXkEyXkFqcGdeQXVyMzI1MTIxNDk@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",['USA'],['English'],"['Milton Sills', 'Jane Keithley', 'Raymond Hackett', 'Mitchell Harris', 'Nat Pendleton', 'John Rogers', 'Harold Kinney', 'Sam Allen', 'Harry Tenbrook']",['Romance'],JACK LONDON'S Great Drama of Iron-Fisted Men,,['Alfred Santell'],87 min,https://www.imdb.com/title/tt0021348/
2476,2479,"The Sea-Wolf (1904), Jack London",The Sea Wolf (1941),1904,The Sea-Wolf,Jack London,43049.0,1941,The Sea Wolf,The Sea Wolf,Approved,1941,7.5,"2,720",,"https://m.media-amazon.com/images/M/MV5BNDE3OGNmMTAtZWQyMi00ZDM0LWEwYTEtNmQ3MGZlNDQzYjIzXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",['USA'],['English'],"['Edward G. Robinson', 'Ida Lupino', 'John Garfield', 'Alexander Knox', 'Gene Lockhart', 'Barry Fitzgerald', 'Stanley Ridges', 'David Bruce', 'Francis McDonald', 'Howard Da Silva', 'Frank Lackteen']","['Adventure', 'Drama']",Jack London's great novel of terror afloat.,"After being fished out of the sea by a sealer, three fugitives find themselves prisoners of the ship's brutal skipper who refuses to put them ashore and they hatch an escape plan during a crew mutiny.",['Michael Curtiz'],87 min,https://www.imdb.com/title/tt0034162/
2477,2480,"The Sea-Wolf (1904), Jack London",Wolf Larsen (1958),1904,The Sea-Wolf,Jack London,43049.0,1958,Wolf Larsen,Wolf Larsen,Approved,1958,6.2,50,,"https://m.media-amazon.com/images/M/MV5BODY2MDk3OTQ0OF5BMl5BanBnXkFtZTgwNDE4Nzk1MDE@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",['USA'],['English'],"['Barry Sullivan', 'Peter Graves', 'Gita Hall', 'Thayer David', 'John Alderson', 'Rico Alaniz', 'Robert Gist', 'Jack Grinnage', 'Jack Orrison', 'Henry Rowland', 'Bob LaVarre']","['Adventure', 'Drama', 'Romance']","In every roaring port they knew the ""Wolf"" and his savage crew...and what befell his human prey!","A crazed, tyrannical, but cultured sea captain holds a ship's crew and passengers in an iron grip. During a titanic storm, at last the passengers break free.",['Harmon Jones'],83 min,https://www.imdb.com/title/tt0052402/
2482,2485,"The Sea-Wolf (1904), Jack London",The Sea Wolf (1997),1904,The Sea-Wolf,Jack London,43049.0,1997,The Sea Wolf,The Sea Wolf,R,1997,3.9,29,,"https://m.media-amazon.com/images/M/MV5BMTU3Njk3OTY3NV5BMl5BanBnXkFtZTcwODgzNDEyMQ@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",['USA'],['English'],"['Alejandra Cruz', 'Rick Dean', 'Zaina Juliette', 'Stacy Keach', 'Jason Simmons']","['Action', 'Thriller']",,"Thrown overboard while conducting an environmental investigation, Humphrey Van Weyden is as good as dead. But before he can meet his watery doom, he is plucked up by the crew of the ...",['Gary T. McDonald'],,https://www.imdb.com/title/tt0120084/
